2454665.8136100001  -7.3520000000  1.7160000000 HARPS   
2454675.6723400000   4.7950000000  1.7510000000 HARPS   
2454678.7044500001   2.0210000000  1.3660000000 HARPS   
2454682.7223200002   0.5960000000  1.1930000000 HARPS   
2454701.5390900001  -2.9500000000  1.3070000000 HARPS   
2454703.6799800000  12.5370000000  1.5070000000 HARPS   
2454708.6696500001  12.4910000000  1.3550000000 HARPS   
2454742.5683400002  -4.5380000000  1.7750000000 HARPS   
2454745.5547799999  -9.1460000000  1.4520000000 HARPS   
2454747.5401300001  -7.4810000000  1.7270000000 HARPS   
2454753.5072499998  -1.9700000000  1.1660000000 HARPS   
2454756.5147000002  -5.7900000000  1.2300000000 HARPS   
2454758.5461100000  -0.2540000000  1.2810000000 HARPS   
2454760.5552400001  -1.8740000000  1.3460000000 HARPS   
2454762.5262799999  -1.0250000000  1.0720000000 HARPS   
2454768.5025200001   1.4000000000  1.2970000000 HARPS   
2455054.7045100001   1.4650000000  1.3410000000 HARPS   
2455056.7095599999  -4.0420000000  1.2810000000 HARPS   
2455057.7115600002   0.1700000000  2.7170000000 HARPS   
2455987.9013999999  -4.5310000000  1.7840000000 HARPS   
2455988.8955700002   3.7570000000  1.2340000000 HARPS   
2455989.8982699998  -1.3510000000  1.2800000000 HARPS   
